event_id,origin_time,qlat,qlon,qdep,qmag,qmagtype
10162790,2017-05-29 07:00:45.200,33.202167,-116.040333,9.4,2.01,Ml
10162918,2017-05-29 20:00:41.690,33.1905,-115.5785,3.55,2.72,Ml
10162977,2017-05-30 01:58:40.220,33.192333,-115.590333,2.91,1.42,Ml
10163493,2017-05-30 23:10:42.860,33.186167,-115.605167,3.01,1.67,Ml
10163572,2017-05-31 05:53:30.110,33.299,-116.113,1.23,1.41,Ml
10163804,2017-06-01 00:37:12.830,33.0725,-115.571,9.89,1.74,Ml
10163893,2017-06-01 14:02:28.190,33.192,-115.602833,3.29,1.86,Ml
10163896,2017-06-01 14:11:42.700,33.191167,-115.607333,3.44,1.55,Ml
10163914,2017-06-01 15:19:14.630,32.978667,-115.905,10.67,3.2,Ml
10163915,2017-06-01 15:21:35.870,32.978167,-115.896833,7.8,1.41,Ml
10164824,2017-06-05 05:08:09.740,33.229,-116.017167,3.99,2.31,Ml
10200975,2017-06-06 16:26:25.560,33.303667,-116.104667,2.32,2.1,Ml
10201129,2017-06-06 23:38:26.370,33.302,-116.105167,2.05,2.38,Ml
10201273,2017-06-07 11:09:52.660,33.191333,-115.606333,2.73,1.51,Ml
10201312,2017-06-07 14:38:30.750,33.240667,-116.0895,3.87,1.75,Ml
10202016,2017-06-09 08:40:09.840,32.926167,-115.522167,7.54,1.43,Ml
10202958,2017-06-13 03:06:23.410,33.189333,-115.650667,4.18,1.41,Ml
10203433,2017-06-14 05:09:54.440,33.180333,-115.652,5.02,1.55,Ml
10203434,2017-06-14 05:15:27.390,33.176833,-115.647,5.33,2.16,Ml
10203435,2017-06-14 05:21:09.780,33.181333,-115.644833,5.29,1.73,Ml
10203446,2017-06-14 06:40:11.230,33.1775,-115.652833,3.98,2.38,Ml
10203447,2017-06-14 06:43:43.160,33.176333,-115.645,4.82,1.41,Ml
10203493,2017-06-14 09:46:21.860,33.186667,-115.6405,5.45,1.48,Ml
10203655,2017-06-14 19:36:16.550,32.9355,-115.527333,9.83,1.96,Ml
10203672,2016-09-09 23:46:49.320,32.921333,-115.807667,9.14,1.57,Ml
10203687,2016-09-09 23:02:56.290,33.174167,-116.0425,3.96,2.01,Ml
10204883,2016-09-16 03:40:26.700,33.2675,-116.106167,4.54,2.21,Ml
10204887,2016-09-16 03:19:47.320,33.269333,-116.109,3.58,2.25,Ml
10205102,2016-09-14 23:22:19.020,33.1745,-116.039833,3.36,1.71,Ml
10205622,2016-09-12 05:30:24.240,33.161667,-115.647833,2.24,1.46,Ml
10205993,2016-09-10 08:28:04.080,33.1745,-116.043,3.55,1.63,Ml
10206091,2016-09-30 23:22:15.150,33.295833,-115.7115,5.25,1.94,Ml
10206132,2016-09-30 18:43:48.190,33.05,-115.554833,6.61,1.4,Ml
10206139,2016-09-30 18:14:53.740,33.299833,-115.708167,3.47,1.68,Ml
10206158,2016-09-30 17:11:23.210,33.2975,-115.720833,3.96,1.49,Ml
10206159,2016-09-30 17:10:56.290,33.303833,-115.714,5.38,1.57,Ml
10206160,2016-09-30 17:02:00.970,33.294167,-115.714,5.58,1.44,Ml
10206382,2016-09-28 09:36:50.080,33.2935,-115.722333,5.24,1.59,Ml
10206432,2016-09-28 01:38:49.990,33.300833,-115.699833,8.51,1.39,Ml
10206486,2016-09-27 16:56:56.980,33.294333,-115.720833,2.76,1.63,Ml
10206535,2016-09-27 06:29:02.890,33.291333,-115.7055,5.99,1.51,Ml
10206547,2016-09-27 03:32:35.190,33.294667,-115.677833,3.89,2.19,Ml
10206548,2016-09-27 03:25:56.960,33.294167,-115.715833,2.14,2.59,Ml
10206549,2016-09-27 03:24:44.710,33.302667,-115.6945,1.85,3.11,Ml
10207804,2016-01-15 22:59:13.210,33.2185,-115.565833,3.35,2.06,Ml
10207933,2016-01-15 12:19:56.360,33.059,-115.9665,6.83,2.33,Ml
10208387,2016-01-13 22:22:04.330,33.1905,-116.062,5.33,1.45,Ml
10208399,2016-01-13 21:15:29.700,32.938833,-115.7205,9.82,1.61,Ml
10208868,2016-02-12 02:43:11.630,33.156,-115.655667,3.01,2.17,Ml
10209053,2016-02-11 10:13:13.590,33.2105,-115.622333,3.67,1.91,Ml
10209119,2016-02-11 05:16:38.620,33.1575,-115.651167,2.74,2.03,Ml
10209120,2016-02-11 05:13:58.190,33.159,-115.649,2.69,1.46,Ml
